,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Material,Colour,Brand,Price
0,37539,Boys,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infants Boys White Booties,Not specified,White,Madagascar 3,129
1,37537,Boys,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infant Boys Yellow Booties,Not specified,Yellow,Madagascar 3,129
2,37538,Boys,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infant Boys Blue Booties,Not specified,Blue,Madagascar 3,129
3,37513,Boys,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infant Boys White Booties,Not specified,White,Madagascar 3,129
4,37576,Girls,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infant Girls White Booties,Not specified,White,Madagascar 3,129
5,37549,Girls,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infants Girls Pink Booties,Cotton,Pink,Madagascar 3,129
6,37512,Boys,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infant Boys Blue Booties,Not specified,Blue,Madagascar 3,129
7,37551,Girls,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infant Girls White Booties,Not specified,White,Madagascar 3,129
8,37550,Girls,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infant Girls Light Green Booties,Not specified,Green,Madagascar 3,129
9,37575,Girls,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infant Girls Light Green Booties,Not specified,Green,Madagascar 3,129
10,37574,Girls,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infants Girls Pink Booties,Cotton,Pink,Madagascar 3,129
11,37511,Boys,Apparel,Socks,Booties,Summer,2012.0,Casual,Madagascar 3 Infant Boys Yellow Booties,Not specified,Yellow,Madagascar 3,129
